publisher,title,author,primary_isbn10,weeks_on_list
Sapphire Star Publishing,LOST TO YOU,A L Jackson,1938404505,0
Random House,CONVICTION,Aaron Allston,345509102,1
Abbi Glines,FOREVER TOO FAR,Abbi Glines,988301334,2
Atria,RUSH TOO FAR,Abbi Glines,1476775958,1
Atria,SIMPLE PERFECTION,Abbi Glines,1476756538,1
Atria,TAKE A CHANCE,Abbi Glines,1476756562,1
Abbi Glines,TWISTED PERFECTION,Abbi Glines,988301326,2
Atria,WHEN I'M GONE,Abbi Glines,1476776105,1
Atria,YOU WERE MINE,Abbi Glines,1476776083,1
Knopf Doubleday,CUTTING FOR STONE,Abraham Verghese,375714367,0
Putnam,ROBERT B. PARKER'S LITTLE WHITE LIES,Ace Atkins,698413067,1
Putnam,ROBERT B. PARKER'S OLD BLACK MAGIC,Ace Atkins,698413075,1
Addison Moore,SOMEONE TO LOVE,Addison Moore,1624300006,4
Harper,ALL THE STARS IN THE HEAVENS,Adriana Trigiani,62319213,0
Harper,KISS CARLO,Adriana Trigiani,62319221,1
HarperCollins Publishers,THE SHOEMAKERS WIFE,Adriana Trigiani,62098063,1
Harper,THE PERFECT MOTHER,Aimee Molloy,62696815,1
Morrow,THE WOMAN IN THE WINDOW,AJ Finn,62678418,15
Delacorte,AS CHIMNEY SWEEPERS COME TO DUST,Alan Bradley,345539958,0
Delacorte,THE GRAVE'S A FINE AND PRIVATE PLACE,Alan Bradley,345540018,1
Random House,THRICE THE BRINDED CAT HATH MEW'D,Alan Bradley,345539982,1
Lucasbooks,THE FORCE AWAKENS,Alan Dean Foster,1101965495,2
Random House,MIDNIGHT IN EUROPE,Alan Furst,679604235,1
Random House Publishing,MISSION TO PARIS,Alan Furst,679604227,1
Romig Works,FIDELITY,Aleatha Romig,996839445,1
EverAfter Romance,MOONSHOT,Alessandra Torre,1940941776,0
Putnam,THE DECEIVERS,Alex Berenson,698407539,1
Pantheon,PRECIOUS AND GRACE,Alexander McCall Smith,1101871369,1
Pantheon,THE HOUSE OF UNEXPECTED SISTERS,Alexander McCall Smith,1101871385,1
Knopf Doubleday Publishing,THE LIMPOPO ACADEMY OF PRIVATE DETECTION,Alexander McCall Smith,307378403,1
Open Road Media,SEVENTH HEAVEN,Alice Hoffman,1453206361,0
Simon & Schuster,THE DOVEKEEPERS,Alice Hoffman,1451617496,0
Simon & Schuster,THE MARRIAGE OF OPPOSITES,Alice Hoffman,1451693613,0
Simon & Schuster,THE RULES OF MAGIC,Alice Hoffman,1501137492,1
St. Martin's,MAKE THEM PAY,Allison Brennan,1250105277,1
Minotaur,NO GOOD DEED,Allison Brennan,1466870036,0
Morrow/HarperCollins,THE LOST GIRLS,Allison Brennan,1250105102,1
Putnam,GARDEN OF LIES,Amanda Quick,1101621044,1
Berkley,THE GIRL WHO KNEW TOO MUCH,Amanda Quick,698193628,1
Berkley,THE OTHER LADY VANISHES,Amanda Quick,399585338,1
Ecco/HarperCollins,THE VALLEY OF AMAZEMENT,Amy Tan,62107313,3
Crown,ARTEMIS,Andy Weir,553448129,6
Knopf,THE STARS ARE FIRE,Anita Shreve,385350910,1
Random House,SISTERHOOD EVERLASTING,Ann Brashares,679605096,1
Harper/HarperCollins,COMMONWEALTH,Ann Patchett,62491814,0
HarperCollins,STATE OF WONDER,Ann Patchett,62049828,0
Houghton Mifflin Harcourt,THE MAGICIAN'S ASSISTANT,Ann Patchett,547548796,1
Random House,MILLER'S VALLEY,Anna Quindlen,812996089,0
Random House,STILL LIFE WITH BREAD CRUMBS,Anna Quindlen,812995759,0
ROC,ETCHED IN BONE,Anne Bishop,698190459,1
Roc,MARKED IN FLESH,Anne Bishop,698190424,1
Harper,CAVE OF BONES,Anne Hillerman,62391941,1
Harper,ROCK WITH WINGS,Anne Hillerman,62270532,1
Harper,SONG OF THE LION,Anne Hillerman,62391895,1
Knopf,PRINCE LESTAT,Anne Rice,307962520,2
Knopf,PRINCE LESTAT AND THE REALMS OF ATLANTIS,Anne Rice,385353790,1
Knopf Doubleday Publishing,THE WOLF GIFT,Anne Rice,307595110,0
Grand Central,THE GIRLS OF AUGUST,Anne Rivers Siddons,446565849,1
Knopf,A SPOOL OF BLUE THREAD,Anne Tyler,1101874287,0
Dial,THE TRUTH ACCORDING TO US,Annie Barrows,812997840,0
Scribner,BARKSKINS,Annie Proulx,743288785,0
Scribner,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,1501173219,81
Ace,QUEEN OF FIRE,Anthony Ryan,1101612983,0
Knopf Doubleday Publishing,THE TWELVE TRIBES OF HATTIE,Ayana Mathis,385350287,0
St. Martins,BEHIND CLOSED DOORS,B A Paris,1250121019,2
Knopf Doubleday,ESCAPE,Barbara Delinsky,385532733,0
Barbara Freethy,IF I DIDN'T KNOW BETTER,Barbara Freethy,996117113,0
HarperCollins Publishers,FLIGHT BEHAVIOR,Barbara Kingsolver,62124285,0
Oak Press,ALL I EVER NEED IS YOU,Bella Andre,1938127595,1
Oak Press,NOW THAT I'VE FOUND YOU,Bella Andre,1938127897,1
Oak Press,YOU DO SOMETHING TO ME,Bella Andre,1945253460,1
